--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_lock_unlock_put/4096/manual_time_stddev                                0.440 us        0.439 us           50 bytes_per_second=86.1389Mi/s
benchmark_lock_unlock_put/4096/manual_time_cv                                     3.50 %          3.34 %            50 bytes_per_second=3.47%
benchmark_lock_unlock_put/32768/manual_time_mean                                  25.9 us         26.4 us           50 bytes_per_second=9.4451Gi/s
benchmark_lock_unlock_put/32768/manual_time_median                                25.8 us         26.3 us           50 bytes_per_second=9.46144Gi/s
benchmark_lock_unlock_put/32768/manual_time_stddev                               0.741 us        0.741 us           50 bytes_per_second=276.9Mi/s
benchmark_lock_unlock_put/32768/manual_time_cv                                    2.86 %          2.81 %            50 bytes_per_second=2.86%
benchmark_lock_unlock_put/262144/manual_time_mean                                  130 us          130 us           50 bytes_per_second=15.068Gi/s
benchmark_lock_unlock_put/262144/manual_time_median                                129 us          130 us           50 bytes_per_second=15.0827Gi/s
benchmark_lock_unlock_put/262144/manual_time_stddev                              0.556 us        0.556 us           50 bytes_per_second=66.2139Mi/s
benchmark_lock_unlock_put/262144/manual_time_cv                                   0.43 %          0.43 %            50 bytes_per_second=0.43%
benchmark_lock_unlock_get/1/manual_time_mean                                      13.4 us         15.3 us           50 bytes_per_second=583.996Ki/s
benchmark_lock_unlock_get/1/manual_time_median                                    13.2 us         15.1 us           50 bytes_per_second=592.739Ki/s
benchmark_lock_unlock_get/1/manual_time_stddev                                   0.356 us        0.355 us           50 bytes_per_second=14.9823Ki/s
benchmark_lock_unlock_get/1/manual_time_cv                                        2.66 %          2.32 %            50 bytes_per_second=2.57%
benchmark_lock_unlock_get/8/manual_time_mean                                      13.3 us         15.2 us           50 bytes_per_second=4.5837Mi/s
benchmark_lock_unlock_get/8/manual_time_median                                    13.2 us         15.1 us           50 bytes_per_second=4.62596Mi/s
benchmark_lock_unlock_get/8/manual_time_stddev                                   0.335 us        0.335 us           50 bytes_per_second=110.904Ki/s
benchmark_lock_unlock_get/8/manual_time_cv                                        2.52 %          2.20 %            50 bytes_per_second=2.36%
benchmark_lock_unlock_get/64/manual_time_mean                                     13.6 us         15.4 us           50 bytes_per_second=36.0542Mi/s
benchmark_lock_unlock_get/64/manual_time_median                                   13.4 us         15.3 us           50 bytes_per_second=36.5206Mi/s
benchmark_lock_unlock_get/64/manual_time_stddev                                  0.356 us        0.354 us           50 bytes_per_second=949.147Ki/s
benchmark_lock_unlock_get/64/manual_time_cv                                       2.63 %          2.29 %            50 bytes_per_second=2.57%
benchmark_lock_unlock_get/512/manual_time_mean                                    13.5 us         15.4 us           50 bytes_per_second=288.664Mi/s
benchmark_lock_unlock_get/512/manual_time_median                                  13.3 us         15.2 us           50 bytes_per_second=293.917Mi/s
benchmark_lock_unlock_get/512/manual_time_stddev                                 0.426 us        0.425 us           50 bytes_per_second=8.65438Mi/s
benchmark_lock_unlock_get/512/manual_time_cv                                      3.15 %          2.75 %            50 bytes_per_second=3.00%
benchmark_lock_unlock_get/4096/manual_time_mean                                   16.2 us         18.0 us           50 bytes_per_second=1.88606Gi/s
benchmark_lock_unlock_get/4096/manual_time_median                                 16.1 us         17.9 us           50 bytes_per_second=1.89846Gi/s
benchmark_lock_unlock_get/4096/manual_time_stddev                                0.390 us        0.392 us           50 bytes_per_second=43.9305Mi/s
benchmark_lock_unlock_get/4096/manual_time_cv                                     2.41 %          2.17 %            50 bytes_per_second=2.27%
